block,perm_importance,share_pct
Exchange rate,0.1127848339808332,36.74813318456044
Inflation persistence,0.07761645643352733,25.2893920012119
Gold and coin (expectations),0.0700192814799283,22.814041484947374
Imported commodities,0.030677038967205833,9.9953502069827
Seasonality,0.015815487048521693,5.153083122297578
