target_shift_months,n_months,n_oos,RMSE,RMSE_vs_RW,currency_share_pct,persistence_share_pct,imported_share_pct
-1,127,55,1.4514540867446235,0.9188784619090183,53.08652923149879,22.9415367570438,15.80740466305116
0,128,56,1.2254540525982391,0.762113402201037,63.10804920650841,23.110196452410886,8.358108961879987
1,129,57,1.3212074658722843,0.7822669452783043,56.74378491096921,29.413167870388754,9.417507931776463
