ym_end,beta,se,t
1394-10,0.07824540452047266,0.020882403232589063,3.746954009506096
1394-11,0.08499850636300438,0.022739573365984377,3.7379112173736626
1394-12,0.08695762047353663,0.023820258960549564,3.6505741023871052
1395-01,0.08696250156399528,0.023953085424983846,3.6305344393457792
1395-02,0.08780016730783902,0.024395712810198852,3.5989998730897237
1395-03,0.09131379393803599,0.025302016229230857,3.6089532593273415
1395-04,0.08686759500818371,0.024162527122213968,3.595136989140571
1395-05,0.08560498718348054,0.024539800832121296,3.4884140979428064
1395-06,0.08465141115482012,0.024929612889608013,3.395616752240358
1395-07,0.06508370317592294,0.023574122566434486,2.7608112663582647
1395-08,0.044149937046897736,0.04006670579851392,1.1019108301270744
1395-09,0.0451452436783773,0.04021511523400418,1.1225939156380786
1395-10,0.053525293487822694,0.039555333696099225,1.353175121692909
1395-11,-0.016261522873949084,0.03682773449065433,-0.4415564274820034
1395-12,-0.10125664064888319,0.03897668585400502,-2.59787712655099
1396-01,-0.07204914352583258,0.036718583040368645,-1.9621983627914317
1396-02,-0.07001839459599389,0.038037871900697406,-1.840754781939053
1396-03,-0.07869379125429597,0.034028897133660994,-2.312557793019186
1396-04,-0.08194566523743861,0.03127489106521223,-2.6201742818726754
1396-05,-0.07265355133685705,0.03661162594723381,-1.9844393538153253
1396-06,-0.07126750215231165,0.038427801079670726,-1.8545818430920824
1396-07,-0.06410471666746224,0.03842725175939205,-1.6682097660495414
1396-08,-0.04985354285524458,0.040416356527627914,-1.2334991854390824
1396-09,-0.05130334741931837,0.04000640231872557,-1.2823784305969723
1396-10,-0.050607285166911195,0.04055674884597619,-1.2478141519455686
1396-11,-0.055920515104469125,0.03887568601437079,-1.43844445815818
1396-12,-0.06260815275386812,0.036247295526600144,-1.7272503187975228
1397-01,-0.0669233253481107,0.036097482025663694,-1.8539610408429932
1397-02,-0.041942143684309104,0.03243768509588861,-1.2930066852897946
1397-03,0.011706970826343135,0.025286595725386427,0.46297140799344316
1397-04,0.06684303689673145,0.029541333567663138,2.262695309391852
1397-05,0.13746528159137536,0.025545825013826618,5.381125155166161
1397-06,0.16111595606046306,0.021344453512298904,7.548375786132276
1397-07,0.1915718555020799,0.020251113070198442,9.45981857086153
1397-08,0.19200908081718668,0.019968203676350545,9.615741301987706
1397-09,0.1486771114406977,0.023109415912745013,6.433616150319973
1397-10,0.13226764657944026,0.023652767171302137,5.592058029468974
1397-11,0.13119039630501036,0.02365819960134773,5.545240065416342
1397-12,0.13561366639847997,0.02420834853401658,5.601937951608768
1398-01,0.1414613271362892,0.024610974311517014,5.747896257406217
1398-02,0.14113798408418685,0.024715996310027764,5.71039023933356
1398-03,0.13851405258404992,0.024939205516842956,5.554068372005796
1398-04,0.12574101888668293,0.02578966147445727,4.87563665817095
1398-05,0.12628530223374632,0.025511506490916,4.950131121371187
1398-06,0.12226551495841961,0.02512283240445518,4.866709015530333
1398-07,0.11915801719592502,0.02506613697281441,4.753744756328363
1398-08,0.11832057729164781,0.025045028097554697,4.724314016768869
1398-09,0.11732649480830935,0.025637424311872003,4.57637605794817
1398-10,0.11173679589065523,0.025642083424318503,4.3575552751180116
1398-11,0.10968666336795524,0.02537990908577576,4.321791027589986
1398-12,0.108639013383975,0.02524302591662183,4.303723877747922
1399-01,0.10719739062030598,0.024860352075860463,4.31198199821133
1399-02,0.10531802815620045,0.024820577406119232,4.243173977501244
1399-03,0.10461835535964224,0.024809009049314885,4.216950187396999
1399-04,0.11113632743099702,0.02721071043256291,4.084286138225953
1399-05,0.11032073860768692,0.026037633219549237,4.23697260336463
1399-06,0.10947522929086483,0.0262391036037285,4.172216815947505
1399-07,0.11657904059241923,0.028366824667656443,4.109696519023556
1399-08,0.1211506166027759,0.02773105672190375,4.368770285882523
1399-09,0.11501159968975778,0.02722004506117493,4.225253831552378
1399-10,0.11335953326563654,0.026596638176046617,4.262175261222678
1399-11,0.110656891083263,0.026307322659957794,4.206315196479235
1399-12,0.10956705384942424,0.02632621428637334,4.161899339478408
1400-01,0.10893330557605597,0.026480597464597858,4.113702710888221
1400-02,0.10776680253231807,0.02620132551727551,4.113028650449894
1400-03,0.09986773060643304,0.025571136327704164,3.905486612976006
1400-04,0.09903966945557119,0.025698235387080777,3.8539482561266136
1400-05,0.09777298794641197,0.025435223715910532,3.8439995275233962
1400-06,0.09637241350359073,0.02511939865979169,3.8365732718694754
1400-07,0.09608138284379718,0.025148113334010153,3.8206199235573393
1400-08,0.09517627973133773,0.024898507530830977,3.8225696706312284
1400-09,0.09497801072628156,0.02457933472091926,3.864140824179696
1400-10,0.09391212056667309,0.02407308303587637,3.901125602678928
1400-11,0.09339841066586425,0.0231378699942896,4.036603658371098
1400-12,0.0967450544519691,0.02200240202218901,4.397022395754951
1401-01,0.09328502117817151,0.02189859828223481,4.259862662253081
1401-02,0.0968620764494966,0.021358011198136274,4.535163670011976
1401-03,0.10608998652096722,0.027737476814965117,3.8247886507012354
1401-04,0.10600556660003085,0.02767167404091454,3.8308331633024473
1401-05,0.10437706306935353,0.02888596576780973,3.6134178067077274
1401-06,0.10278788343406842,0.03089295854335943,3.3272269242132233
1401-07,0.08599210455133675,0.03288365413978018,2.6150410226857956
1401-08,0.08705730861656896,0.03325059320010143,2.6182182102033416
1401-09,0.09736793266011455,0.03540381825615473,2.750209933731872
1401-10,0.10277625535758528,0.03682358417564336,2.7910443173417576
1401-11,0.10179635715578354,0.036364877049744664,2.7993043126897716
1401-12,0.10442577917195763,0.036455357248791065,2.864483770088979
1402-01,0.10201564418814466,0.035944438585818805,2.8381482143497156
1402-02,0.10208818328968082,0.03564133014220444,2.8643202395186083
1402-03,0.10900088125595943,0.034952452559607196,3.1185474344059707
1402-04,0.115020499187591,0.035168509214988423,3.2705537355723497
1402-05,0.10672279189768766,0.03501883087237189,3.047582950060352
1402-06,0.10380978464629582,0.035881677840102356,2.893114004002208
1402-07,0.10254239673621357,0.036287104843361284,2.8258632695789085
1402-08,0.10111940601795688,0.03626543505508815,2.788313606726456
1402-09,0.10148702420600822,0.036236578244974,2.8006790133415658
1402-10,0.11436933747961672,0.03513993980656928,3.254682225102611
1402-11,0.11634949074245071,0.03484656801012343,3.3389081733572588
1402-12,0.11088863571035361,0.034595999477545124,3.2052444613524456
