block_withheld,n_features,n_dropped,RMSE,RMSE_vs_RW,RMSE_change_pct
none (full model),51,0,1.2254540525982391,0.762113402201037,0.0
within-month shape,39,12,1.3233392971237041,0.8229885174878275,7.987671534312213
exchange rate,38,13,1.2878229730695319,0.8009008133415884,5.089454014131056
gold and coin,35,16,1.210283271958584,0.7526786500593149,-1.2379722118091352
imported commodities,39,12,1.2245653935379937,0.7615607425738853,-0.07251671805739157
inflation persistence,44,7,1.3270688732548552,0.8253079516176122,8.292013922608499
seasonality,48,3,1.2519968029597444,0.7786204150416166,2.1659523101032363
