ym,actual,RandomWalk,Mean,AR,Ridge,ElasticNet,RandomForest,GradBoost,Combo(ML),Combo(Ridge+RW)
1399-05,3.450105016198979,6.199677823799021,1.4204708216139652,4.279051139488603,3.5618376683844137,3.104986791375367,3.6849852364728455,3.3393950763012668,3.4228011931334734,4.880757746091717
1399-06,3.498899185006543,3.450105016198979,1.4482740297589654,3.252994570593864,2.4947945454120672,2.459066138529321,3.1210750834624106,4.098533863946146,3.043367407837486,2.972449780805523
1399-07,6.803730524128326,3.498899185006543,1.4759851805055542,3.2345528189604265,4.507237884679535,5.242964011235675,3.3886898771233938,3.201554806743166,4.085111644945442,4.003068534843039
1399-08,5.033681416159386,6.803730524128326,1.5470217850871912,3.4874711450428055,3.542007286351498,3.2228378370778046,3.7378407666165123,4.380313026640775,3.720749729171647,5.172868905239913
1399-09,2.0159070001789736,5.033681416159386,1.5928988854960358,4.667004084371673,2.716512580213423,2.8767222419721015,2.2547893229946254,2.576595626708395,2.606154942972136,3.8750969981864043
1399-10,1.8012141568366502,2.0159070001789736,1.598392497375035,3.1957253570211233,3.4081436012104693,3.7725873383039374,2.065977418039101,2.2021104570055976,2.862204703639776,2.7120253006947213
1399-11,2.454747285043002,1.8012141568366502,1.6009927750604402,2.4242279371420903,0.32225828053500805,0.27330086428679,1.703520780867634,1.3588582918975625,0.9144845543967486,1.0617362186858292
1399-12,1.7939218596868756,2.454747285043002,1.6117997941741435,2.1956347452804668,2.4957814277062695,2.4945821305094222,2.270646306332875,2.8438372617800742,2.5262117815821603,2.4752643563746357
1400-01,2.648284526734024,1.7939218596868756,1.6140763199930528,1.8089856351626081,1.665987655791977,1.423128411139668,1.5856184009583447,1.06904826354704,1.4359456828592574,1.7299547577394263
1400-02,0.7485795737808054,2.648284526734024,1.6268443225454106,2.4731942567024126,1.3635184826298559,1.8094992401136014,2.0440962233595106,2.1379054480747715,1.838754848544435,2.00590150468194
1400-03,2.4977283086197843,0.7485795737808054,1.616133776828769,1.2176232056725202,1.1936532878227437,1.1543533529349448,1.7087611429378307,1.716379801084313,1.4432868961949579,0.9711164308017746
1400-04,3.4807740161662437,2.4977283086197843,1.626755397693721,2.5786182710236725,1.887826518272543,1.594848611191598,1.4535931097134607,0.8375611062425345,1.4434573363550343,2.192777413446164
1400-05,3.1271339436664825,3.4807740161662437,1.648827047913632,2.6949689575779487,2.124957199838248,2.590682826596389,1.610440283181889,1.624861763869547,1.9877355183715182,2.8028656080022456
1400-06,3.861707880068632,3.1271339436664825,1.6662188937460183,2.90147702254409,2.47018580778402,4.19044948040706,2.1403348785778085,3.2480616804213565,3.012257961797561,2.798659875725251
1400-07,3.6357472007002123,3.861707880068632,1.691747835447444,3.8966977908733558,2.669566012361694,3.341684169612691,2.2323990656497146,1.9723214593436313,2.5539926767419323,3.265636946215163
1400-08,2.4149864462427395,3.6357472007002123,1.7140926557377059,3.505950112881516,2.3775581607136567,3.0397273160834946,2.5436867371828504,2.952135237231874,2.7282768628029688,3.0066526807069343
1400-09,1.6485350737051263,2.4149864462427395,1.7220573579025358,2.612170616192907,2.398217874742037,3.012864431962806,1.8339113698423535,1.362149195041654,2.1517857178972126,2.406602160492388
1400-10,2.345690035404413,1.6485350737051263,1.721231264821666,2.067629173681069,2.485922067091158,2.9708458163930267,1.9957116890027913,1.6747685844677267,2.2818120392386754,2.067228570398142
1400-11,2.090313172092184,2.345690035404413,1.7281696956059187,2.2780279841356683,1.3200541398471244,1.4297862713441287,1.990979330885841,1.6053111115939873,1.5865327134177702,1.8328720876257687
1400-12,1.2783730930987502,2.090313172092184,1.7321492942486247,1.9507251172625268,1.3073894953707805,1.0848990335904087,2.1069936014774684,2.118607046545054,1.654472294245928,1.6988513337314823
1401-01,3.3070986843878103,1.2783730930987502,1.7272169442361263,1.6885860131828399,2.4436753707558316,3.2074308741700315,2.0094057204026647,2.1995692134474236,2.465020294693988,1.861024231927291
1401-02,3.457602296395823,3.3070986843878103,1.7442049199366823,2.5829020740157405,2.0408369264649893,2.3009444058620767,2.422184293169451,1.9826223414074116,2.1866469917259823,2.6739678054263996
1401-03,10.059919855611632,3.457602296395823,1.7624325516011412,2.7091024646171613,3.6507733010003998,3.7918106784137127,2.6480270803010644,2.5740063708263454,3.1661543576353806,3.5541877986981114
1401-04,4.2779384289231,10.059919855611632,1.8497745232223044,6.844602961168511,4.596976117224371,5.215686982542188,3.709818617259267,4.502046521428994,4.506132059613705,7.328447986418002
1401-05,2.142939145589917,4.2779384289231,1.8750678972400212,4.67954137116972,3.3957063543249326,3.4458538544692656,2.3565412344901,3.043047025259086,3.0602871171358457,3.8368223916240165
1401-06,2.1671592641371973,2.142939145589917,1.8778294565013602,3.6006700740680393,2.2363086754871273,2.2371607730715546,2.0109481808078447,2.152562266421412,2.1592449739469846,2.189623910538522
1401-07,2.5265939419222505,2.1671592641371973,1.8807818014772362,2.468493695017844,2.8314963607019172,3.278787832535482,2.169452215719419,1.7888483933460897,2.517146200575727,2.4993278124195575
1401-08,2.1348375805536612,2.5265939419222505,1.8873051564312262,2.213382870723689,2.583978417894656,2.8226153922356887,2.815561922364387,2.261360672185523,2.6208791011700634,2.555286179908453
1401-09,2.1548336206203444,2.1348375805536612,1.8897804806724505,2.081286089096298,2.7053270774566696,3.0206180039881803,2.524039565034984,2.3559990893531726,2.651495933958252,2.420082329005165
1401-10,3.7405311587839662,2.1548336206203444,1.892404769186786,2.1720568642130544,2.989615905961851,2.8964311123472255,3.935295770897222,4.731522997047149,3.6382164465633617,2.5722247632910977
1401-11,3.365260967788153,3.7405311587839662,1.9105236553593075,2.579167052366504,4.203591808914066,4.463299977841572,4.815767475377287,5.363532627100121,4.711547972308262,3.972061483849016
1401-12,4.643796435279501,3.365260967788153,1.9246473185867718,2.767278117221385,4.720348957048472,4.889820559353353,4.806602033904449,6.627194249181042,5.260991449871829,4.042804962418312
1402-01,3.610093099879297,4.643796435279501,1.9507929831703559,3.8069717003149517,3.776605128024068,3.2808995992308327,4.149036034636984,4.219911306929503,3.8566130172053468,4.210200781651785
1402-02,2.7324104274553562,3.610093099879297,1.9665958414247267,3.3197962700332644,2.9710184136310986,3.2240325035807444,2.9235942934512424,2.406831809032795,2.8813692549239702,3.2905557567551975
1402-03,2.0278176167787265,2.7324104274553562,1.9738205073306763,3.503869499079708,2.9275093979102493,2.706638187516172,2.0963970778234864,1.4381250083353834,2.2921674178963225,2.829959912682803
1402-04,1.935713068960876,2.0278176167787265,1.974325153213368,2.33782058981078,1.7516605155757152,2.2491004111553656,2.1013182521529727,1.4465562929344837,1.8871588679546345,1.8897390661772209
1402-05,2.4060541271685665,1.935713068960876,1.9739676339147338,2.043551861408926,1.4663867123322674,1.3565839325066111,1.9460415139179092,1.7011737382043892,1.617546474240294,1.7010498906465716
1402-06,2.0030714783595194,2.4060541271685665,1.9779317301831176,2.2298612656958063,2.0092144849262104,2.243901839290951,2.128502830224808,2.2881815506887735,2.167450176282686,2.2076343060473884
1402-07,2.35189674409213,2.0030714783595194,1.9781602733483576,2.046597286959332,2.1072936087251692,2.2421586522066876,1.8179584014213592,1.5243644530659382,1.9229437788547885,2.0551825435423443
1402-08,2.1083675083641396,2.35189674409213,1.9815272685802836,2.238162639260088,2.7082036025757588,2.588161931295424,1.9736918787996696,1.6048890813661585,2.2187366235092525,2.5300501733339447
1402-09,2.851326605573057,2.1083675083641396,1.9826597707212108,2.092580026177991,1.6009483661058383,1.249974239280883,2.0184202849516444,1.6792809665169384,1.637155964213826,1.854657937234989
1402-10,2.547908530098475,2.851326605573057,1.9903470878437934,2.3782748119937605,1.799815806820411,1.5986022721370379,2.1815993230767536,1.9901599460017554,1.8925443370089896,2.325571206196734
1402-11,1.383024498204577,2.547908530098475,1.9952379776881328,2.4305541022408854,2.4539651785102987,2.229150073800172,2.2767260439817534,1.681477996015034,2.160329823076814,2.5009368543043866
1402-12,1.9741812464292074,1.383024498204577,1.9899143822143628,1.9001192461582106,2.328199891609887,2.282690792261444,2.653753900863113,2.6010331355888083,2.466419430080813,1.855612194907232
1403-01,2.6153687905080325,1.9741812464292074,1.9897787517334562,2.0767341584871857,2.69628942737217,2.9061099831130646,2.744688383767081,2.0830633133546925,2.607537776901752,2.3352353369006886
1403-02,2.71358749924806,2.6153687905080325,1.9951256751417858,2.3026132405341784,2.83362382279918,2.302471761911952,2.9554257414991856,1.6354019389539032,2.431730816291055,2.7244963066536063
1403-03,2.8022138100384453,2.71358749924806,2.00121433466811,2.416918301174308,2.2236375535102835,2.8952208523310063,2.1345915665419257,2.0360173819611127,2.322366838586082,2.4686125263791716
1403-04,2.178735418490696,2.8022138100384453,2.0079454226964324,2.5347763706035837,2.2112360345223445,2.774206893657146,2.3207516723168786,2.2197452376407973,2.3814849595342915,2.506724922280395
1403-05,1.9403014607770608,2.178735418490696,2.0093686726613846,2.2374191492128017,1.8045402792755254,1.9814566962020501,2.2211675728542546,2.2356613720413057,2.060706480093284,1.9916378488831108
1403-06,1.7146543154650473,1.9403014607770608,2.008797869257382,2.0623375244239206,1.976351602756777,1.8894138870305845,2.266421156311364,2.3902474574641315,2.130608525890714,1.958326531766919
1403-07,2.7572536556144556,1.7146543154650473,2.006386856521379,1.8860548133437027,2.069015146831305,2.256396377271176,2.2026139343653997,2.408599547660738,2.2341562515321547,1.8918347311481762
1403-08,2.683264680595343,2.7572536556144556,2.012491464644087,2.394414051252525,3.102411676905803,3.279081906903074,3.2728099438819775,2.3269971259178326,2.995325163402172,2.929832666260129
1403-09,1.9837703323472233,2.683264680595343,2.017900926063049,2.4349902227062525,2.2609105403527905,1.484052831429178,2.545939481163584,2.28401640793905,2.1437298152211506,2.472087610474067
1403-10,2.8696869790254986,1.9837703323472233,2.0176278813133224,2.135267986949741,2.606011611013597,2.601917515088762,2.348781775309665,2.4778386596673108,2.5086373902698336,2.2948909716804105
1403-11,4.041291290276927,2.8696869790254986,2.024390255104689,2.512509343402188,2.4972902266346604,2.1507333755157156,2.7537285181103144,2.307171692477955,2.427230953184661,2.6834886028300797
1403-12,3.2842616952295955,4.041291290276927,2.040271365617856,3.15277174701359,3.738629642322752,3.6941008547697693,4.205134405687133,4.766203175593992,4.101017019593412,3.8899604662998395
