feature,perm_importance,perm_sd,mean_abs_shap
gold_rial_premium,0.02356250444191828,0.007433047143341769,0.09284851164735833
usd_free_market_dmax,0.021935764473154894,0.00652732174703087,0.0690849340960663
infl_lag1,0.021015981794433602,0.007272650328019054,0.07183350261713965
usd_free_market_eom,0.02099569119325004,0.0074721154417229565,0.06619784085798297
gold_18k_dmax,0.01967744093164916,0.007581011401626282,0.0700416617715762
infl_ma12,0.016802661848526183,0.0063921492900384435,0.080176399597673
infl_ma3,0.01484474999361779,0.006762358387227554,0.06640434510582434
usd_free_market_dvol,0.014656585882596848,0.00530844766461385,0.06030108247125275
month_cos,0.011365167546765646,0.005160707306245206,0.06432286705307003
infl_lag12,0.01045744794223344,0.004196905302330973,0.048207872089571537
coin_gold_ratio_d1,0.00948329965010271,0.005658619643304689,0.04043859440375484
food_d12,0.009160719987604786,0.004055668437965951,0.05041586051551119
infl_lag3,0.008964822194144776,0.005050042731375992,0.04753727709138417
gold_18k_eom,0.008000394720639662,0.004263577233260639,0.04275594724249398
usd_vol6,0.007515279538875611,0.004428340057129907,0.041446722152725005
coin_emami_eom,0.006926007083157408,0.0040024583329529,0.039067961336755476
usd_up,0.006456555458585178,0.0038661204377866925,0.04079683762629244
gold_usd_d1,0.006019969660579868,0.003507765984715347,0.0397086529141438
food_d3,0.004654403258606832,0.0031510440293195797,0.032274884899201384
infl_lag2,0.004605388469739224,0.0037022918834193176,0.03720349590453418
gold_rial_premium_d1,0.004473253312082685,0.0033869189274215532,0.03310021118426956
usd_free_market_h2h1,0.004262493964204365,0.0026973121157909045,0.027881913655285848
coin_d1,0.00394182927478357,0.002939619420640948,0.03327042057210141
coin_d3,0.0037612911601171565,0.0032359817534633583,0.03379482835327785
gold_d12,0.0036979979758800037,0.002510648006799462,0.03521059076458458
coin_d12,0.0036140649229471577,0.002639265605180422,0.03570459506870738
gold_d3,0.003458056187874566,0.003053496683489866,0.03292571073601029
usd_d12,0.003101044938518808,0.0025748404798200137,0.031501195870085215
month_sin,0.002869372211225174,0.002327282733569536,0.03005675359719395
usd_d1,0.0027584255144720887,0.00258509101247852,0.02592612885528965
coin_emami_dmax,0.0025169701064273373,0.0023856581877492625,0.02501600621059717
food_d1,0.002367432997885144,0.002191845661576362,0.023430688103670546
gold_usd_d3,0.0021802664397678343,0.0020874590442762756,0.026184090692699943
energy_d12,0.0019156011615039288,0.0025867833749391154,0.026076151001163898
usd_d3,0.0016928406530865026,0.002386501443003592,0.022998540830580887
nowruz,0.0015809472905308727,0.001734660267713811,0.015068800610606975
coin_emami_h2h1,0.001387330900501127,0.001243069899072296,0.016702227962797384
energy_d3,0.0012868428638532917,0.0018929276288739381,0.01942642689314348
coin_gold_ratio,0.0011500455374081546,0.0019972207032113616,0.022818273964130022
gold_18k_h2h1,0.0009882036942110612,0.0011220222582876637,0.014720160468146741
usd_dn,0.000988100062470317,0.0013542369771237738,0.01334261553398242
infl_lag6,0.000925404190832313,0.0012928804922443249,0.014846458500682705
energy_d1,0.0008975918393872055,0.0015269683566251748,0.0149609108851734
brent_d12,0.0008920555312580292,0.0018250961079178027,0.019073794349448055
gold_d1,0.0008489960245868419,0.0014506878029757256,0.01727093811672733
brent_d1,0.0007585569110124202,0.0015450592784213588,0.014019184109339897
gold_18k_dvol,0.00048281528023171873,0.0011056843411650361,0.012476355078937353
gold_usd_d12,0.00046381322389936014,0.0008021799859812203,0.01181059790008942
usd_accel,0.00038629454761757165,0.001232940084123403,0.011955350967182164
coin_emami_dvol,8.453802941066346e-05,0.0007864815288902805,0.0077840396365135124
brent_d3,7.978509184713249e-05,0.0006578503925274088,0.006829792521735121
