model,RMSE,MAE,RMSE_vs_RW,direction_hit_rate,DM_stat,DM_pvalue,DM_p_holm
Ridge,1.2254540525982391,0.7943906441174073,0.762113402201037,0.6785714285714286,1.6691826607560183,0.10076437518931702,0.7053506263252192
Combo(ML),1.247025846192073,0.7592294656246935,0.7755289627212526,0.6428571428571429,1.58956119887769,0.11766618919579774,0.7059971351747865
ElasticNet,1.2483612282786691,0.8591373813954447,0.7763594406841728,0.6964285714285714,1.570209804265375,0.12210209103128444,0.7059971351747865
Combo(Ridge+RW),1.2944489191376136,0.8368309182486673,0.8050215082709818,0.6785714285714286,1.9942254223045903,0.05109412280310521,0.4087529824248417
RandomForest,1.327809545646905,0.7821608170285639,0.8257685779099033,0.6071428571428571,1.2163988243550627,0.22902760661806654,0.9161104264722661
GradBoost,1.4550998732806815,0.9518364934293064,0.9049307990103841,0.6428571428571429,0.6647712265367968,0.508974688811354,1.0
AR,1.486381770254631,0.9493018452073414,0.9243851007686361,0.6607142857142857,0.6943381632787067,0.4903928033084066,1.0
RandomWalk,1.6079681174206384,1.0219292265565536,1.0,,,,
Mean,1.7721635268394975,1.1173404172764225,1.1021135976764558,0.6607142857142857,-0.6860842971289202,0.49554210665158704,1.0
