ym,horizon_months,predicted_mom_pct,cumulative_pct,cum_p2_5,cum_p50,cum_p97_5
1404-01,1,4.054946004337463,4.138281526798604,2.8418091305472126,4.104441443193307,6.55748155170679
1404-02,2,1.6491551867773087,5.869922878386147,3.9512642128619326,6.259481189629545,12.328886086986326
1404-03,3,2.0879583761000475,8.103681626022063,5.6317926198842585,8.731958578331,16.420841628221606
1404-04,4,2.472487037549269,10.809848089289797,7.917427374272908,11.805448644609562,20.37422391505856
1404-05,5,2.6344273167997487,13.767845063258699,10.569697608429696,15.16375420093059,24.90581819772667
1404-06,6,2.7499359078157024,16.939801381597007,13.358243524684976,18.761708636195106,29.795574508228622
1404-07,7,3.4219788055719613,21.010712209796225,17.319417851106618,23.326099124655876,35.754063101786926
1404-08,8,3.0698630487557192,24.78318394488488,20.718445387222012,27.77132616864071,41.19435067324867
1404-09,9,3.0935181388328186,28.703702702250954,24.138664953980843,32.296296183805694,47.262412478050244
1404-10,10,3.729495049880234,33.59433195450063,28.964023858846762,37.72604331308875,55.0603994634083
1404-11,11,3.552597661219453,38.425712698929445,33.38932935362249,43.303467998013325,63.01600405215714
1404-12,12,4.210859503406695,44.379089491702906,39.15790251561614,50.01062290832425,71.43985871844768
1405-01,13,2.91898652732936,48.655607508971,43.30971790459289,55.15353940532374,78.48116195566756
1405-02,14,2.812649557817614,52.89612468776033,47.50791786053559,60.28120964133225,84.89281359457851
1405-03,15,3.5610259489840144,58.4388994710501,53.3037820364221,66.73933630511887,93.88026397834824
1405-04,16,1.9532244849689984,61.5639874880348,56.156880304262074,70.8561314868096,99.07101913582586
1405-05,17,3.4652635722395058,67.26073917685748,61.47740754939569,78.00028379530109,107.1408797634631
